[["NAME","B25064_001E","state","county","tract"],
["Census Tract 34.01, Denver County, Colorado","974","08","031","003401"],
["Census Tract 34.02, Denver County, Colorado","1392","08","031","003402"],
["Census Tract 35, Denver County, Colorado","875","08","031","003500"],
["Census Tract 36.01, Denver County, Colorado","695","08","031","003601"],
["Census Tract 36.02, Denver County, Colorado","731","08","031","003602"],
["Census Tract 36.03, Denver County, Colorado","716","08","031","003603"],
["Census Tract 37.01, Denver County, Colorado","661","08","031","003701"],
["Census Tract 37.02, Denver County, Colorado","703","08","031","003702"],
["Census Tract 37.03, Denver County, Colorado","682","08","031","003703"],
["Census Tract 38, Denver County, Colorado","915","08","031","003800"],
["Census Tract 39.01, Denver County, Colorado","1630","08","031","003901"],
["Census Tract 39.02, Denver County, Colorado","1418","08","031","003902"],
["Census Tract 40.02, Denver County, Colorado","1328","08","031","004002"],
["Census Tract 40.03, Denver County, Colorado","1193","08","031","004003"],
["Census Tract 40.04, Denver County, Colorado","1255","08","031","004004"],
["Census Tract 40.05, Denver County, Colorado","741","08","031","004005"],
["Census Tract 40.06, Denver County, Colorado","824","08","031","004006"],
["Census Tract 41.01, Denver County, Colorado","859","08","031","004101"],
["Census Tract 41.02, Denver County, Colorado","920","08","031","004102"],
["Census Tract 41.03, Denver County, Colorado","1199","08","031","004103"],
["Census Tract 41.04, Denver County, Colorado","879","08","031","004104"],
["Census Tract 41.05, Denver County, Colorado","1286","08","031","004105"],
["Census Tract 42.01, Denver County, Colorado","908","08","031","004201"],
["Census Tract 42.02, Denver County, Colorado","1181","08","031","004202"],
["Census Tract 43.01, Denver County, Colorado","637","08","031","004301"],
["Census Tract 43.02, Denver County, Colorado","1257","08","031","004302"],
["Census Tract 43.03, Denver County, Colorado","1750","08","031","004303"],
["Census Tract 43.04, Denver County, Colorado","1061","08","031","004304"],
["Census Tract 43.06, Denver County, Colorado","1051","08","031","004306"],
["Census Tract 44.03, Denver County, Colorado","805","08","031","004403"],
["Census Tract 44.04, Denver County, Colorado","714","08","031","004404"],
["Census Tract 44.05, Denver County, Colorado","945","08","031","004405"],
["Census Tract 45.01, Denver County, Colorado","793","08","031","004501"],
["Census Tract 45.02, Denver County, Colorado","860","08","031","004502"],
["Census Tract 46.01, Denver County, Colorado","774","08","031","004601"],
["Census Tract 46.02, Denver County, Colorado","638","08","031","004602"],
["Census Tract 46.03, Denver County, Colorado","1143","08","031","004603"],
["Census Tract 47, Denver County, Colorado","721","08","031","004700"],
["Census Tract 48.01, Denver County, Colorado","1167","08","031","004801"],
["Census Tract 48.02, Denver County, Colorado","812","08","031","004802"],
["Census Tract 49, Denver County, Colorado","747","08","031","004900"],
["Census Tract 50.01, Denver County, Colorado","1098","08","031","005001"],
["Census Tract 50.02, Denver County, Colorado","715","08","031","005002"],
["Census Tract 51.02, Denver County, Colorado","772","08","031","005102"],
["Census Tract 51.03, Denver County, Colorado","691","08","031","005103"],
["Census Tract 51.04, Denver County, Colorado","619","08","031","005104"],
["Census Tract 52, Denver County, Colorado","1123","08","031","005200"],
["Census Tract 53, Denver County, Colorado","789","08","031","005300"],
["Census Tract 54, Denver County, Colorado","580","08","031","005400"],
["Census Tract 55.02, Denver County, Colorado","1060","08","031","005502"],
["Census Tract 55.03, Denver County, Colorado","1123","08","031","005503"],
["Census Tract 67.01, Denver County, Colorado","1044","08","031","006701"],
["Census Tract 68.04, Denver County, Colorado","1102","08","031","006804"],
["Census Tract 68.09, Denver County, Colorado","820","08","031","006809"],
["Census Tract 68.10, Denver County, Colorado","880","08","031","006810"],
["Census Tract 68.11, Denver County, Colorado","718","08","031","006811"],
["Census Tract 68.12, Denver County, Colorado","681","08","031","006812"],
["Census Tract 68.13, Denver County, Colorado","832","08","031","006813"],
["Census Tract 68.14, Denver County, Colorado","812","08","031","006814"],
["Census Tract 69.01, Denver County, Colorado","692","08","031","006901"],
["Census Tract 70.06, Denver County, Colorado","675","08","031","007006"],
["Census Tract 70.13, Denver County, Colorado","1048","08","031","007013"],
["Census Tract 70.37, Denver County, Colorado","687","08","031","007037"],
["Census Tract 70.88, Denver County, Colorado","988","08","031","007088"],
["Census Tract 70.89, Denver County, Colorado","886","08","031","007089"],
["Census Tract 83.03, Denver County, Colorado","985","08","031","008303"],
["Census Tract 83.04, Denver County, Colorado","1347","08","031","008304"],
["Census Tract 83.05, Denver County, Colorado","1077","08","031","008305"],
["Census Tract 83.06, Denver County, Colorado","691","08","031","008306"],
["Census Tract 83.11, Denver County, Colorado","1198","08","031","008311"],
["Census Tract 83.12, Denver County, Colorado","808","08","031","008312"],
["Census Tract 83.13, Denver County, Colorado","1271","08","031","008313"],
["Census Tract 106.01, Denver County, Colorado","1026","08","031","010601"],
["Census Tract 119.02, Denver County, Colorado","809","08","031","011902"],
["Census Tract 119.03, Denver County, Colorado","861","08","031","011903"],
["Census Tract 120.01, Denver County, Colorado","618","08","031","012001"],
["Census Tract 120.10, Denver County, Colorado","942","08","031","012010"],
["Census Tract 120.14, Denver County, Colorado","893","08","031","012014"]]
